customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00000,Male,0,Yes,No,42,Yes,Yes,DSL,Yes,No internet service,No internet service,Yes,No internet service,No internet service,One year,Yes,Mailed check,67.97,2876.12,No
CUST-00001,Female,1,Yes,Yes,68,Yes,Yes,DSL,Yes,No internet service,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),24.54,1629.21,No
CUST-00002,Male,0,No,Yes,62,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No internet service,No,No,Month-to-month,No,Mailed check,23.67,1481.08,Yes
CUST-00003,Male,0,Yes,No,69,Yes,No,No,No,Yes,Yes,No internet service,No internet service,Yes,Two year,Yes,Credit card (automatic),54.48,3713.93,No
CUST-00004,Male,0,Yes,No,64,No,Yes,DSL,Yes,Yes,Yes,No internet service,No,Yes,One year,Yes,Electronic check,58.76,3728.83,No
CUST-00005,Female,1,Yes,No,66,Yes,Yes,Fiber optic,No,No internet service,Yes,Yes,No internet service,No,Month-to-month,Yes,Mailed check,21.74,1440.49,Yes
CUST-00006,Male,0,Yes,No,53,Yes,No,Fiber optic,No internet service,Yes,No,No internet service,Yes,Yes,Month-to-month,No,Mailed check,103.24,5481.45,No
CUST-00007,Male,0,No,No,35,Yes,Yes,DSL,No,No internet service,No,No,No internet service,No internet service,One year,No,Electronic check,68.66,2420.3,No
CUST-00008,Male,0,No,No,70,Yes,No,Fiber optic,Yes,No internet service,No,No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),72.79,5056.37,No
CUST-00009,Female,0,No,No,14,Yes,Yes,Fiber optic,No internet service,No internet service,No,No,No,Yes,One year,No,Electronic check,83.18,1158.98,No
CUST-00010,Male,0,No,No,17,Yes,No,Fiber optic,No,Yes,No internet service,No,Yes,No,Month-to-month,No,Bank transfer (automatic),39.76,639.3,No
CUST-00011,Male,0,No,No,3,Yes,No phone service,DSL,No internet service,No,No internet service,No,Yes,No internet service,Month-to-month,No,Electronic check,70.29,254.5,Yes
CUST-00012,Male,0,No,No,10,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),40.29,436.33,Yes
CUST-00013,Male,0,No,No,5,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,59.53,304.13,Yes
CUST-00014,Female,0,Yes,No,50,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No internet service,One year,No,Credit card (automatic),80.68,4027.07,No
CUST-00015,Male,0,No,No,57,Yes,No,Fiber optic,No internet service,No,Yes,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),41.59,2353.11,No
CUST-00016,Female,0,No,Yes,59,Yes,No,DSL,No internet service,Yes,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,106.36,6303.81,Yes
CUST-00017,Female,0,No,No,17,Yes,No,DSL,Yes,No internet service,No,No,No,Yes,Two year,No,Electronic check,47.37,806.27,No
CUST-00018,Female,1,No,No,66,Yes,Yes,Fiber optic,No internet service,No,No,No,No internet service,No,Month-to-month,No,Credit card (automatic),48.37,3143.63,No
CUST-00019,Male,0,Yes,Yes,16,Yes,No,Fiber optic,No internet service,No,No internet service,Yes,Yes,Yes,Month-to-month,No,Electronic check,110.11,1768.79,No
CUST-00020,Female,1,No,No,33,Yes,No,Fiber optic,Yes,No,Yes,No internet service,No,Yes,One year,Yes,Mailed check,56.92,1914.06,No
CUST-00021,Male,0,No,Yes,29,Yes,No,Fiber optic,Yes,No internet service,Yes,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),31.65,928.5,Yes
CUST-00022,Female,0,Yes,No,18,Yes,No phone service,No,No,No,No internet service,No,No,No internet service,Month-to-month,Yes,Electronic check,60.76,1050.73,No
CUST-00023,Female,1,No,Yes,8,Yes,No,No,Yes,Yes,Yes,No internet service,No internet service,Yes,Month-to-month,No,Credit card (automatic),51.9,424.24,Yes
CUST-00024,Female,0,No,No,39,Yes,No,DSL,No internet service,No internet service,Yes,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),67.51,2657.88,No
CUST-00025,Female,0,No,No,43,Yes,No phone service,Fiber optic,No,No internet service,No,Yes,No internet service,Yes,Month-to-month,No,Mailed check,79.27,3432.46,Yes
CUST-00026,Female,0,No,Yes,58,Yes,Yes,DSL,No internet service,No internet service,No internet service,Yes,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),50.97,2960.42,No
CUST-00027,Female,0,No,No,24,Yes,Yes,No,No,No internet service,No internet service,No,Yes,No,Month-to-month,No,Credit card (automatic),89.12,2164.18,Yes
CUST-00028,Female,0,No,Yes,70,Yes,Yes,No,No internet service,No,Yes,No,No internet service,Yes,One year,No,Bank transfer (automatic),48.28,3341.39,No
CUST-00029,Female,0,No,No,52,Yes,No phone service,DSL,No,No,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),101.87,5273.39,No
CUST-00030,Male,0,Yes,No,47,Yes,No,Fiber optic,No,Yes,Yes,No internet service,No,No internet service,One year,No,Credit card (automatic),114.21,5340.57,No
CUST-00031,Male,0,Yes,Yes,70,Yes,Yes,No,No internet service,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),19.37,1340.77,No
CUST-00032,Female,0,No,No,52,Yes,Yes,Fiber optic,No,No internet service,No,Yes,No,Yes,One year,Yes,Credit card (automatic),29.64,1554.95,No
CUST-00033,Female,0,Yes,Yes,48,Yes,Yes,Fiber optic,No internet service,Yes,No,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),69.01,3313.88,No
CUST-00034,Female,0,No,No,42,No,Yes,No,No internet service,No,Yes,No,Yes,No internet service,Two year,Yes,Mailed check,80.3,3369.3,No
CUST-00035,Male,0,Yes,No,18,Yes,No phone service,No,No,No internet service,No internet service,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),109.06,1969.46,No
CUST-00036,Female,1,No,No,65,Yes,No,Fiber optic,Yes,Yes,No internet service,No internet service,Yes,Yes,Two year,Yes,Mailed check,81.05,5258.33,Yes
CUST-00037,Male,0,Yes,No,33,No,No phone service,No,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),104.43,3492.67,Yes
CUST-00038,Male,1,No,No,72,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,One year,Yes,Mailed check,70.23,5007.89,No
CUST-00039,Male,0,Yes,No,53,Yes,No,DSL,No internet service,No internet service,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),86.96,4589.73,Yes
CUST-00040,Male,0,Yes,No,0,Yes,No,Fiber optic,No internet service,No,No,No internet service,No internet service,No,Month-to-month,No,Mailed check,110.35,48.56,Yes
CUST-00041,Male,0,No,Yes,54,Yes,No,DSL,Yes,Yes,Yes,No,No internet service,Yes,One year,No,Electronic check,85.75,4672.88,No
CUST-00042,Female,0,No,No,14,No,No phone service,Fiber optic,No internet service,No internet service,No,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),66.27,961.11,No
CUST-00043,Female,0,Yes,Yes,14,No,No phone service,No,Yes,Yes,Yes,No,No internet service,No,Month-to-month,No,Electronic check,77.29,1047.56,No
CUST-00044,Female,0,Yes,Yes,22,No,No,No,No internet service,Yes,No internet service,Yes,No,No,Month-to-month,Yes,Mailed check,61.03,1373.34,No
CUST-00045,Female,0,No,No,65,No,Yes,No,No internet service,No internet service,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),33.01,2104.87,No
CUST-00046,Female,1,Yes,No,45,Yes,No,DSL,No internet service,No,Yes,No,No,Yes,One year,No,Electronic check,95.02,4233.7,No
CUST-00047,Male,0,No,No,8,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No internet service,Month-to-month,Yes,Electronic check,59.45,433.7,Yes
CUST-00048,Female,0,Yes,No,65,Yes,Yes,No,No,No internet service,No,No,No internet service,No,Two year,Yes,Mailed check,27.48,1794.44,No
CUST-00049,Female,0,Yes,No,65,Yes,Yes,No,No internet service,No,Yes,No,No,No,Two year,No,Mailed check,88.4,5764.99,No
CUST-00050,Male,0,No,No,17,Yes,Yes,No,No internet service,No,Yes,No internet service,Yes,No,Month-to-month,Yes,Mailed check,94.4,1580.41,Yes
CUST-00051,Female,0,No,Yes,16,Yes,No,Fiber optic,Yes,Yes,Yes,No internet service,No,No,Month-to-month,Yes,Mailed check,28.53,471.78,No
CUST-00052,Male,0,No,No,71,No,Yes,No,Yes,No internet service,No,No internet service,No,Yes,Two year,Yes,Mailed check,63.59,4510.71,No
CUST-00053,Female,1,Yes,No,33,Yes,No,No,No internet service,No,No internet service,Yes,No,No internet service,Month-to-month,No,Electronic check,66.13,2229.64,No
CUST-00054,Male,0,Yes,No,68,Yes,Yes,DSL,No internet service,No internet service,Yes,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,41.45,2803.01,Yes
CUST-00055,Female,0,Yes,No,63,Yes,No,DSL,No,No,No,No,Yes,No internet service,Two year,Yes,Bank transfer (automatic),97.92,6187.28,No
CUST-00056,Female,0,No,No,43,Yes,No,No,No internet service,No internet service,No,No,No internet service,Yes,One year,Yes,Mailed check,71.08,3019.23,No
